id,timestamp,trial_num,block_num,basic_step,difficulty,start_model,target_model,method,tot_time, result
1,08/26/2017 21:37:01,0,7,1,4,000110110000000100000000110,110110000100000000110000000,s,00:00:02.9417650,True
2,08/26/2017 21:37:05,0,9,2,2,111111100010010000000000000,000010010100111111000000000,s,00:00:04.0265410,True
3,08/26/2017 21:37:19,0,4,3,7,000000000011000000011000000,110110000000000000000000000,rs,00:00:01.4885480,True
4,08/26/2017 21:37:21,0,7,3,5,000000000011001001001001001,010110000000110000000110000,rs,00:00:07.1558200,True
5,08/26/2017 21:37:29,0,10,4,1,001001000011011000011011000,110110000111111000000000000,rs,00:00:02.7728670,True
6,08/26/2017 21:37:39,0,8,4,0,110100000110000000111000000,110100000100100000100100100,rs,00:00:06.8693220,False
7,08/26/2017 21:37:47,1,8,4,0,110100000110000000111000000,110100000100100000100100100,rs,00:00:06.6988640,True
8,08/26/2017 21:37:55,0,12,3,0,100110000110111010110100000,111111000011110010000010000,rs,00:00:06.3225800,True
9,08/26/2017 22:13:15,0,3,3,12,000000110000000100000000000,110000000010000000000000000,rs,00:00:03.0889900,True
10,08/26/2017 22:13:49,0,3,3,12,000000001000000001000000001,111000000000000000000000000,rs,00:00:01.3519220,True
11,08/26/2017 22:13:59,0,4,3,7,000100000000100000000110000,000100000000100000100100000,rs,00:00:06.4156040,True
12,08/26/2017 22:14:07,0,7,3,5,000000000110110000100110000,110110000110100000000000000,rs,00:00:05.1031960,True
13,08/26/2017 22:14:13,0,8,3,1,000000000001011001010011001,011110000010111000000000000,rs,00:00:08.7251770,False
14,08/27/2017 16:30:32,0,3,3,12,000010110000000000000000000,100000000110000000000000000,rs,00:00:03.7538370,True
0,08/28/2017 09:40:56,0,3,3,12,000011000000010000000000000,010110000000000000000000000,rs,00:00:07.9450790,True
1,08/28/2017 09:41:09,0,4,1,9,000001000011001000000000000,000100000010110000000000000,r,00:00:08.9149880,True
2,08/28/2017 09:41:19,0,5,2,6,010010000010010000010000000,111000000110000000000000000,r,00:00:04.2937220,True
3,08/28/2017 09:41:24,0,7,2,3,000100100000110110000010000,100110000000110110000000000,r,00:00:05.6174990,False
4,08/28/2017 09:41:31,1,7,2,3,000100100000110110000010000,100110000000110110000000000,r,00:00:13.6893060,False
5,08/28/2017 09:41:46,2,7,2,3,000100100000110110000010000,100110000000110110000000000,r,00:00:09.4023220,True
6,08/28/2017 09:41:57,0,9,3,2,000000001000001111000011011,010000000011001000111011000,r,00:00:06.7485100,False
7,08/28/2017 09:42:04,1,9,3,2,000000001000001111000011011,010000000011001000111011000,r,00:00:13.1178780,True
0,08/28/2017 11:11:07,0,5,1,9,000001011000000011000000000,110010000110000000000000000,s,00:00:03.8040890,True
1,08/28/2017 11:11:25,0,5,1,9,110000000100100100000000000,100100100110000000000000000,s,00:00:02.3349330,True
2,08/28/2017 11:13:43,0,5,1,9,000000010000100110000000010,000100000010110000000100000,s,00:00:02.7972350,True
3,08/28/2017 11:13:47,0,5,1,4,001011011000000000000000000,100110110000000000000000000,s,00:00:02.6990910,True
4,08/28/2017 11:13:51,0,7,1,4,100000000111110000010000000,001000000111011000010000000,s,00:00:02.2979470,True
